4871.archive|DLT206 + mss
7979.hpss.date|972152520
8511.hpss.size|1126825984
8577.hpss.filename|r8577.evt
8609.hpss.filename|r8609.evt
8675.uconn.pvfs1.filename|r8675
8685.hpss.size|1115160576
7806.hpss.size|849349208
7983.hpss.filename|r7983.evt
8713.hpss.filename|r8713.evt
7798.jlab.jcache.date|972142380
7875.jlab.jcache.date|972139800
8079.jlab.jcache.size|380239872
8390.jlab.jcache.filename|r8390.evt
8404.jlab.jcache.filename|r8404.evt
8444.jlab.jcache.size|1140719616
8173.uconn.pvfs0.size|722190336
8182.uconn.pvfs0.filename|r8182
8551.uconn.pvfs1.date|972567660
8034.jlab.jcache.date|972573960
7957.jlab.jcache.size|17301504
8477.uconn.pvfs1.size|947122176
8490.uconn.pvfs1.date|972592680
7674.uconn.pvfs0.date|972665220
8061.uconn.pvfs0.filename|r8061
8115.uconn.pvfs0.filename|r8115
8239.uconn.pvfs0.date|972666840
8425.uconn.pvfs1.date|972666180
7651.epics.Halo D upstream|41579
7671.epics.bpm_1_y|-8.066
7676.epics.TimeStamp|Sat May 27 09
7683.epics.bpm_2_y|0.213
7690.epics.bpm_2_i|0.000
7708.epics.beam current|0.046
7750.epics.bpm_2_x|-0.601
7822.epics.Master OR|22273122
7839.epics.Tagger dump U|1450386
7868.epics.tagger current|2046.66
7872.epics.Halo U upstream|10154
7880.epics.Radiator A|0.00
7885.epics.C slit position|8.00
7886.epics.tagger current|2046.66
7898.epics.Halo U upstream|10024
7915.epics.Radiator out|0
7915.epics.bpm_1_x|0.000
7919.epics.Tagger dump R|1813606
7936.epics.beam energy|5653
7943.epics.beam energy|5653
7956.epics.Tagger dump U|1680828
7976.epics.Helium pressure|0.79
7989.epics.Radiator A|0.00
8021.epics.Helium pressure|0.11
8033.epics.Halo U upstream|0
8049.epics.Radiator A|0.00
8069.epics.beam energy|5653
8078.epics.Tagger dump U|0
8083.epics.beam energy|5653
8096.epics.Tagger dump U|0
8101.epics.bpm_2_y|0.000
7558.timecorr|0.
8122.epics.bpm_2_x|-0.487
8130.epics.C slit position|8.00
8133.epics.tagger current|2046.66
8140.epics.Radiator A|0.00
8145.epics.C slit position|-1.00
8158.epics.Halo U upstream|8
8174.epics.Radiator B|1.00
8213.epics.A slit position|-1.00
8217.epics.beam current|0.007
8237.epics.bpm_2_i|76.609
8254.epics.Halo D upstream|11263
8257.epics.Radiator D|0.00
8262.epics.beam current|77.244
8268.epics.Radiator B|0.00
8282.epics.bpm_2_i|76.820
8289.epics.bpm_1_y|0.552
8295.epics.bpm_2_y|0.147
8305.epics.Tagger dump R|286349
8309.epics.Radiator out|0
8309.epics.bpm_1_x|-1.436
8310.epics.Tagger dump L|10431
8326.epics.Halo R upstream|958
8335.epics.Radiator C|0.00
8343.epics.TimeStamp|Fri Jun 23 00
8344.epics.bpm_1_y|0.534
8351.epics.Halo L upstream|897
8357.epics.bpm_1_i|74.862
8365.epics.Tagger dump L|5702
8382.epics.B slit position|16.53
8388.epics.Radiator C|0.00
8392.epics.Radiator out|0
8392.epics.bpm_1_x|-1.472
8406.epics.Radiator out|0
8406.epics.bpm_1_x|-1.484
8416.epics.B slit position|16.54
8421.epics.beam energy|5653
8430.epics.Tagger dump U|0
8445.epics.Tagger dump U|0
8469.epics.Helium pressure|0.68
8479.epics.Tagger dump L|1718
8494.epics.beam energy|5653
8508.epics.Radiator A|1.00
8510.epics.Halo U upstream|10802
8531.epics.Master OR|22741705
8555.epics.beam energy|5653
8578.epics.C slit position|-1.00
8584.epics.bpm_2_x|-0.013
8591.epics.tagger current|2045.00
8592.epics.C slit position|-1.00
8597.epics.Radiator A|1.00
8603.epics.Radiator A|75.620
8639.epics.Halo U upstream|25155
8640.epics.beam current|77.151
8644.epics.A slit position|8.00
8664.epics.bpm_2_i|0.000
8668.epics.TimeStamp|Thu Jul 27 19
8677.epics.bpm_2_y|0.136
8684.epics.Halo U upstream|25156
8691.epics.C slit position|8.00
8692.epics.tagger current|2045.00
8694.epics.Radiator A|1.00
8719.epics.Radiator A|1.00
7807.epics.Halo U upstream|87
7851.timecorr|347.626678
7925.timecorr|851.74408
7990.timecorr|1172.8866
8050.timecorr|0.0616548508
8191.timecorr|1557.54932
8483.timecorr|2745.63525
8564.timecorr|828.185425
8700.timecorr|3279.63965
7545.time|1612.15137
7884.time|3869.83838
8131.time|8746.84277
8144.time|9655.6709
8579.time|6624.92188
8593.time|12366.5469
8607.time|6613.91846
8690.time|6763.19629
4648.comment|no beam; very short cosmic run to test data unpacking 
4902.archive|DLT207 + mss
4903.filename|r4903.evt
5041.size|242 Mb
5092.filename|r5092.evt
5093.archive|mss
5095.trigger|Standard Data
5236.size|240 Mb
5291.date|898423140
5376.archive|mss
5377.filename|r5377.evt
5419.trigger|Standard Data
5556.energy|4 GeV
5633.date|899249460
6221.energy|5.5 GeV
6319.archive|mss
6445.energy|5.5 GeV
6571.energy|5.5 GeV
6637.size|256.0 Kb
6642.size|193.5 Mb
6661.archive|mss
6711.date|933286080
7152.trigger|Standard Data
7154.archive|mss
7155.filename|r7155.evt
7374.date|959127480
7388.comment|
7458.size|569.9 Mb
7514.energy|5.65 GeV
7648.archive|mss
7649.filename|r7649.evt
7705.energy|5.65 GeV
7824.date|959771520
7933.comment|
7946.comment|
8010.date|960195120
8086.comment|trigger rate skyrocketed
8118.comment|130 nA, radiator B
8173.energy|5.65 GeV
8352.filename|r8352.evt
8353.archive|mss
8355.trigger|Standard Data
8381.size|118.9 Mb
8415.size|1082.4 Mb
8424.comment|
8458.date|963347700
8491.comment|
8537.date|963885600
8550.comment|
8618.trigger|Standard Data
5105.date|897883200
7426.uconn.pvfs0.date|970621800
7492.uconn.pvfs0.size|50341424
7579.uconn.pvfs0.size|457139896
7614.uconn.pvfs0.size|335666388
7642.uconn.pvfs0.date|970743360
7661.uconn.pvfs0.size|336260536
7844.hpss.date|972238020
7863.uconn.pvfs0.filename|r7863
7876.hpss.filename|r7876.evt
7938.hpss.date|971272140
8176.hpss.size|502923264
8184.hpss.date|971353860
8248.hpss.filename|r8248.evt
8514.hpss.filename|r8514.evt
8596.uconn.pvfs1.date|971425860
8602.uconn.pvfs1.date|971428440
8618.uconn.pvfs1.filename|r8618
8648.hpss.size|1125384192
8680.hpss.filename|r8680.evt 
7803.hpss.filename|r7803.itape
8173.jlab.jcache.filename|r8173.evt
7746.uconn.pvfs0.filename|r7746
7984.uconn.pvfs0.filename|r7984
8138.uconn.pvfs0.filename|r8138
8206.uconn.pvfs0.size|238194688
8234.jlab.jcache.size|49152000
8315.uconn.pvfs1.size|481615872
7679.jlab.jcache.size|442630144
8281.jlab.jcache.size|46006272
8355.uconn.pvfs1.filename|r8355
8360.uconn.pvfs1.size|479145984
8509.uconn.pvfs1.date|972595800
8695.uconn.pvfs1.date|972603660
8044.uconn.pvfs0.filename|r8044
8221.uconn.pvfs0.date|972666780
8299.uconn.pvfs0.size|0
8718.uconn.pvfs1.date|972666420
7644.epics.tagger voltage|105.60
7655.epics.C slit position|8.00
7661.epics.Halo L upstream|99
7662.epics.Halo U upstream|39311
7671.epics.bpm_1_x|18.578
7682.epics.TimeStamp|Sat May 27 12
7683.epics.bpm_2_x|-0.597
7726.epics.bpm_1_i|0.081
7750.epics.bpm_2_y|0.232
7759.epics.B slit position|17.00
7780.epics.beam energy|5653
7804.epics.beam current|0.040
7818.epics.beam energy|5653
7826.epics.Radiator out|0
7843.epics.bpm_1_i|127.858
7856.epics.B slit position|17.00
7871.epics.beam current|130.149
7890.epics.Radiator A|0.00
7915.epics.bpm_1_y|0.000
7922.epics.B slit position|-0.99
7928.epics.Helium pressure|0.62
7936.epics.Tagger dump R|1384349
7937.epics.Halo R upstream|941
7942.epics.Halo R upstream|965
7943.epics.Tagger dump R|1310258
7976.epics.A slit position|-1.00
7979.epics.tagger current|2046.66
7997.epics.B slit position|17.43
8012.epics.Radiator out|0
8021.epics.A slit position|8.00
8030.epics.beam current|0.008
8057.epics.B slit position|-1.22
8060.epics.bpm_1_i|0.000
8068.epics.Halo R upstream|0
8069.epics.Tagger dump R|24
8082.epics.Halo R upstream|953
8083.epics.Tagger dump R|1078160
8101.epics.bpm_2_x|0.000
8122.epics.bpm_2_y|0.202
8150.epics.Radiator A|0.00
8174.epics.Radiator C|0.00
8183.epics.bpm_1_i|131.461
8196.epics.B slit position|15.59
7511.time|1547.89978
8205.epics.Halo U upstream|10090
8206.epics.Halo L upstream|791
8214.epics.Radiator D|0.00
8215.epics.Tagger dump U|0
8220.epics.Master OR|23
8244.epics.Radiator A|1.00
8250.epics.C slit position|-1.00
8260.epics.Tagger dump U|0
8261.epics.Radiator D|0.00
8268.epics.Radiator C|0.00
8289.epics.bpm_1_x|-1.482
8294.epics.TimeStamp|Tue Jun 20 08
8295.epics.bpm_2_x|-0.549
8299.epics.Halo L upstream|0
8307.epics.Halo D upstream|6415
8309.epics.bpm_1_y|0.546
8328.epics.C slit position|-1.00
8335.epics.Radiator B|0.00
8342.epics.Tagger dump L|5638
8344.epics.bpm_1_x|-1.455
8358.epics.Master OR|16
8382.epics.bpm_2_i|0.000
8388.epics.Radiator B|1.00
8392.epics.bpm_1_y|0.560
8406.epics.bpm_1_y|0.556
8408.epics.Halo D upstream|11930
8416.epics.bpm_2_i|75.275
8420.epics.Halo R upstream|743
8421.epics.Tagger dump R|129375
8466.epics.tagger current|2045.00
8469.epics.A slit position|-1.18
8494.epics.Tagger dump R|117098
8495.epics.Halo R upstream|1095
8513.epics.beam current|77.112
8555.epics.Tagger dump R|44633
8569.epics.Helium pressure|0.55
8584.epics.bpm_2_y|0.140
8587.epics.Helium pressure|0.50
8622.epics.beam energy|5653
8642.epics.Tagger dump U|0
8643.epics.Radiator D|0.00
8657.epics.beam energy|5653
8669.epics.Tagger dump L|562
8676.epics.TimeStamp|Fri Jul 28 03
8677.epics.bpm_2_x|0.001
8678.epics.Halo U upstream|24095
8687.epics.beam current|77.077
8707.epics.B slit position|16.75
7427.timecorr|455.180511
7643.timecorr|350.622559
8220.timecorr|0.000445376441
8358.timecorr|171.945831
8615.timecorr|3071.92114
7609.time|723.760071
7700.time|1999.23938
8176.time|3190.53613
8648.time|7546.91455
4904.trigger|Standard Data
5074.energy|4 GeV
5161.comment|beam was off 
5225.energy|4 GeV
5268.size|99 Mb
5286.size|111 Mb
5432.archive|mss
5445.date|898760760
5478.energy|4 GeV
5523.filename|r5523.evt
5532.comment|normal; change from D6 to D7 
5579.trigger|Standard Data
5587.comment|pulsed at ~50nA the entire time 
5588.date|899090220
5620.size|256 Mb
5665.trigger|Standard Data
6217.archive|mss
6246.date|931836900
6249.comment|3nA running
6329.energy|5.5 GeV
6436.comment|
6439.date|932379840
6519.comment|
6547.archive|mss
6651.energy|5.5 GeV
6706.size|49.0 Mb
6773.size|232.0 Mb
7254.archive|mss
7345.filename|r7345.evt
7350.comment|beam on/off for diagnostics--MCC calls to say beam will be more stable--end run at 408K events because disk full
7468.filename|r7468.evt
7504.archive|mss
7521.filename|r7521.evt
7571.archive|mss
7639.filename|r7639.evt
7669.archive|mss
7687.archive|mss
7712.filename|r7712.evt
7767.filename|r7767.evt
7776.comment|
7779.date|959652540
7797.date|959700120
7798.comment|
7800.comment|
7815.filename|r7815.evt
7875.comment|junk -fixing tdcs
7890.date|959905320
7937.trigger|Standard Data
7942.trigger|Standard Data
7972.size|930.2 Mb
8034.comment|
8068.trigger|min bias (cosmics)
8082.trigger|Standard Data
8105.archive|mss + hpss
8150.date|960920580
8160.filename|r8160.evt
8244.date|961257060
8291.archive|mss + hpss
8323.energy|5.65 GeV
8379.size|1088.9 Mb
8420.trigger|Standard Data
8495.trigger|Standard Data
8517.comment|
8518.date|963758760
8524.size|1076.7 Mb
8554.trigger|Standard Data
8631.date|964487400
8673.archive|mss + hpss
8683.comment|
7533.date|959315100
4864.date|892785600
5116.filename|r5116.evt
7431.uconn.pvfs0.filename|r7431
7444.uconn.pvfs0.filename|r7444
7470.uconn.pvfs0.date|970663440
7584.uconn.pvfs0.date|970826520
7607.uconn.pvfs0.date|970664040
7655.uconn.pvfs0.filename|r7655
7835.hpss.filename|r7835.evt
8001.hpss.filename|r8001.evt
8074.hpss.filename|r8074.evt
8334.hpss.date|970563420
8342.hpss.size|1134559232
8389.hpss.date|970992720
8540.hpss.filename|r8540.evt
8669.hpss.size|561381376
7779.jlab.jcache.size|468656128
7797.jlab.jcache.size|365289472
7850.jlab.jcache.filename|r7850.evt
7991.jlab.jcache.filename|r7991.evt
8482.jlab.jcache.filename|r8482.evt
8701.jlab.jcache.filename|r8701.evt
8178.uconn.pvfs0.date|972518340
8545.uconn.pvfs1.size|0
8721.uconn.pvfs1.size|0
8250.uconn.pvfs0.filename|r8250
8051.jlab.jcache.filename|r8051.evt
8150.jlab.jcache.size|14024704
8227.jlab.jcache.date|972574860
8244.jlab.jcache.size|17563648
8565.jlab.jcache.filename|r8565.evt
8439.uconn.pvfs1.size|947236864
8517.uconn.pvfs1.date|972598860
8683.uconn.pvfs1.date|972600240
8264.uconn.pvfs0.date|972605640
8211.uconn.pvfs0.date|972666780
7644.epics.B slit position|17.00
7656.epics.bpm_2_i|130.002
7657.epics.bpm_2_x|-0.603
7677.epics.tagger current|2046.66
7691.epics.bpm_1_i|0.032
7694.epics.A slit position|-1.00
7706.epics.thermionic gun|-50.000
7717.epics.TimeStamp|Sun May 28 03
7717.epics.bpm_2_y|0.000
7744.epics.tagger voltage|105.60
7755.epics.beam current|0.040
7762.epics.TimeStamp|Mon May 29 02
7762.epics.bpm_2_y|0.203
7781.epics.Halo L upstream|51
7788.epics.TimeStamp|Mon May 29 18
7788.epics.bpm_2_y|0.207
7810.epics.TimeStamp|Tue May 30 11
7810.epics.bpm_2_y|0.000
7819.epics.Halo L upstream|742
7916.epics.Helium pressure|1.09
7936.epics.Tagger dump U|1576525
7943.epics.Tagger dump U|1627234
7967.epics.bpm_1_y|0.000
7977.epics.Tagger dump L|0
8069.epics.Tagger dump U|0
8083.epics.Tagger dump U|0
8127.epics.beam current|5.028
7482.time|0.
8174.epics.Radiator D|0.00
8214.epics.Radiator C|0.00
8215.epics.Tagger dump R|0
8227.epics.B slit position|16.43
8233.epics.A slit position|-1.00
8252.epics.bpm_2_x|-0.546
8253.epics.bpm_2_i|79.444
8257.epics.Radiator B|0.00
8259.epics.bpm_1_x|-1.461
8260.epics.Tagger dump R|398572
8261.epics.Radiator C|0.00
8268.epics.Radiator D|0.00
8279.epics.TimeStamp|Mon Jun 19 09
8279.epics.bpm_2_y|0.146
8283.epics.bpm_1_i|74.958
8286.epics.A slit position|-1.00
8300.epics.Halo D upstream|6
8326.epics.Master OR|28160924
8337.epics.Halo R upstream|976
8342.epics.tagger current|2046.66
8353.epics.Radiator A|0.00
8354.epics.Radiator out|0
8383.epics.Halo U upstream|5
8405.epics.Helium pressure|0.64
8412.epics.beam energy|5653
8421.epics.Tagger dump U|0
8452.epics.bpm_1_y|0.000
8468.epics.Tagger dump L|0
8494.epics.Tagger dump U|0
8555.epics.Tagger dump U|0
8581.epics.beam current|77.264
8619.epics.Radiator out|0
8623.epics.Halo L upstream|1022
8642.epics.Tagger dump R|55591
8643.epics.Radiator C|0.00
8656.epics.Halo L upstream|2737
8660.epics.A slit position|-1.00
8665.epics.bpm_1_i|77.254
8669.epics.tagger current|2045.00
8355.timecorr|2616.50513
8618.timecorr|3128.97925
8313.time|5525.31055
8366.time|6005.77002
4881.energy|4 GeV
5271.archive|mss
5458.size|222 Mb
5518.date|898938660
5520.size|0 Mb
5595.filename|r5595.evt
5598.energy|4 GeV
5601.filename|r5601.evt
5639.archive|mss
5671.date|899352480
6252.energy|5.5 GeV
6275.comment|min bias
6550.comment|125k events
6744.date|933424380
6759.trigger|Standard Data
6784.archive|mss
7211.energy|5.65 GeV
7303.date|959033940
7333.filename|r7333.evt
7346.size|396.6 Mb
7416.comment|
7522.size|397.6 Mb
7541.energy|5.65 GeV
7690.comment|junk
7711.size|429.5 Mb
7746.filename|r7746.evt
7764.size|132.1 Mb
7816.size|58.0 Mb
7853.date|959872860
7863.filename|r7863.evt
7880.energy|5.65 GeV
7918.trigger|Standard Data
7927.date|960037740
7967.archive|mss + hpss
7984.filename|r7984.evt
7989.energy|5.65 GeV
7992.date|960152640
8044.filename|r8044.evt
8049.energy|none
8052.date|960591900
8135.energy|5.65 GeV
8138.filename|r8138.evt
8140.energy|5.65 GeV
8163.size|1039.7 Mb
8193.date|961077600
8237.comment|
8282.comment|LONG RF trip and Thunderstorm(may not want to look at)and ended early
8304.trigger|Standard Data
8452.archive|mss
8481.date|963512760
8505.filename|r8505.evt
8508.energy|5.65 GeV
8566.date|964036080
8570.filename|r8570.evt
8588.date|964166460
8597.energy|5.65 GeV
8603.energy|5.65 GeV
8659.size|1065.1 Mb
8664.comment|
8694.energy|5.65 GeV
8699.filename|r8699.evt
8702.date|965036760
8714.filename|r8714.evt
8719.energy|no beam
7562.comment|pedestal run
5115.size|512.0 Kb
7416.hpss.filename|r7416.evt
7432.uconn.pvfs0.size|331748688
7447.uconn.pvfs0.size|152
7459.uconn.pvfs0.date|970632360
7656.uconn.pvfs0.size|332655924
8079.hpss.size|380239872
8237.hpss.filename|r8237.evt
8344.uconn.pvfs1.size|946642944
8418.uconn.pvfs1.filename|r8418
8420.uconn.pvfs1.date|971405640
8431.hpss.size|1142816768
8444.hpss.size|1140719616
8664.hpss.filename|r8664.evt
7767.hpss.date|971190000
8282.hpss.filename|r8282.evt
7884.jlab.jcache.size|1112670208
8131.jlab.jcache.size|934150144
8144.jlab.jcache.size|1132068864
8171.jlab.jcache.filename|r8171.evt
8690.jlab.jcache.size|1124990976
8554.uconn.pvfs1.date|972567660
8253.uconn.pvfs0.size|951599104
7516.jlab.jcache.filename|r7516.evt
8215.jlab.jcache.date|972574500
8218.jlab.jcache.filename|r8218.evt
8331.uconn.pvfs1.filename|r8331
8495.uconn.pvfs1.date|972592680
7657.epics.bpm_2_y|0.219
7659.epics.A slit position|8.00
7661.epics.Halo R upstream|3661
7680.epics.bpm_2_i|128.859
7712.epics.TimeStamp|Sun May 28 01
7717.epics.bpm_2_x|0.000
7717.epics.tagger current|2046.66
7727.epics.C slit position|8.00
7762.epics.bpm_2_x|-0.597
7762.epics.tagger current|2046.66
7767.epics.TimeStamp|Mon May 29 03
7788.epics.bpm_2_x|-0.597
7788.epics.tagger current|2046.66
7790.epics.Halo U upstream|40970
7794.epics.tagger voltage|106.60
7807.epics.B slit position|17.00
7808.epics.Halo U upstream|43
7810.epics.bpm_2_x|0.000
7810.epics.tagger current|2046.66
7815.epics.TimeStamp|Tue May 30 12
7823.epics.beam energy|5653
7839.epics.Tagger dump R|1859689
7842.epics.C slit position|8.00
7842.epics.Tagger dump L|128464
7859.epics.Radiator out|0
7872.epics.B slit position|17.00
7883.epics.Master OR|18048471
7897.epics.Halo U upstream|10161
7898.epics.B slit position|17.00
7913.epics.Radiator A|0.00
7919.epics.Tagger dump U|662169
7937.epics.Halo L upstream|772
7942.epics.Halo L upstream|794
7956.epics.Tagger dump R|1116653
7967.epics.bpm_1_x|0.000
7998.epics.Radiator out|0
8017.epics.beam energy|5653
8033.epics.B slit position|8.00
8058.epics.Radiator out|0
8061.epics.C slit position|8.00
8061.epics.Tagger dump L|0
8068.epics.Halo L upstream|0
8078.epics.Tagger dump R|911787
8082.epics.Halo L upstream|728
8096.epics.Tagger dump R|865911
8102.epics.bpm_2_i|125.205
8115.epics.C slit position|8.00
8115.epics.Tagger dump L|1
8124.epics.Radiator out|0
8136.epics.Master OR|16
8143.epics.Master OR|27686651
8157.epics.Halo U upstream|5
8158.epics.B slit position|8.00
8160.epics.TimeStamp|Tue Jun 13 17
8182.epics.C slit position|-1.00
8182.epics.Tagger dump L|22284
8199.epics.Radiator out|0
8206.epics.Halo R upstream|984
8209.epics.bpm_2_i|74.558
8214.epics.Radiator B|0.00
8243.epics.Halo U upstream|13
8252.epics.bpm_2_y|0.141
8257.epics.Radiator C|0.00
8259.epics.bpm_1_y|0.539
8261.epics.Radiator B|0.00
8279.epics.bpm_2_x|-0.547
8279.epics.tagger current|2046.66
8296.epics.bpm_2_i|1.969
8299.epics.Halo R upstream|0
8305.epics.Tagger dump U|0
8307.epics.Helium pressure|0.58
8323.epics.Halo D upstream|11275
8324.epics.A slit position|-1.00
8335.epics.Radiator D|0.00
8380.epics.beam current|77.573
8383.epics.bpm_1_i|0.000
8388.epics.Radiator D|0.00
8394.epics.Radiator A|1.00
8400.epics.Radiator A|1.00
8408.epics.Helium pressure|0.58
8414.epics.beam current|76.444
8420.epics.Halo L upstream|831
8430.epics.Tagger dump R|158176
8445.epics.Tagger dump R|142479
8452.epics.bpm_1_x|0.000
8495.epics.Halo L upstream|943
8510.epics.B slit position|16.78
8530.epics.beam energy|5653
8582.epics.Radiator out|0
8594.epics.Master OR|14
8600.epics.Master OR|24384107
8636.epics.Halo U upstream|12564
8639.epics.B slit position|16.75
8643.epics.Radiator B|0.00
8674.epics.bpm_2_i|0.000
8684.epics.B slit position|16.75
8697.epics.Master OR|28703159
8708.epics.Radiator out|0
7436.timecorr|458.069855
7443.timecorr|453.077087
7652.timecorr|0.
8257.timecorr|2076.85132
7975.time|2104.62646
8022.time|6488.0127
8523.time|7126.70312
5332.trigger|Standard Data
4782.filename|r4782.evt
4877.archive|DLT206 + mss
4881.size|0 Mb
4893.date|892710120
4897.energy|4 GeV
5044.comment| 
5068.filename|r5068.evt
5078.archive|mss
5132.filename|r5132.evt
5142.energy|4 GeV
5146.date|897924420
5229.archive|mss
5233.comment|Current stepped up several times in this run. 
5474.archive|mss
5511.date|898932000
5560.energy|4 GeV
5564.date|899018760
5568.trigger|Standard Data
5598.size|236 Mb
5678.date|899367240
6252.size|33.1 Mb
6325.archive|mss
6476.filename|r6476.evt
6482.date|932456460
6486.energy|5.5 GeV
6592.archive|mss
6632.comment|bsd thresh raised to 340
6741.trigger|target_scan; L1 only
6749.energy|5.5 GeV
7203.date|958914240
7207.energy|5.65 GeV
7211.size|57.4 Mb
7306.trigger|Standard Data
7365.filename|r7365.evt
7436.archive|mss
7443.archive|mss
7541.size|49.2 Mb
7553.date|959321700
7652.archive|mss
7736.filename|r7736.evt
7751.energy|5.65 GeV
7755.date|959613660
7759.trigger|Standard Data
7835.filename|r7835.evt
7856.trigger|Standard Data
7880.size|275.6 Mb
7922.trigger|min bias (cosmics)
7989.size|922.1 Mb
7997.trigger|Standard Data
8001.filename|r8001.evt
8049.size|128.0 Kb
8057.trigger|min bias (cosmics)
8074.filename|r8074.evt
8123.energy|5.65 GeV
8127.date|960793680
8135.size|0 b
8140.size|749.4 Mb
8196.trigger|Standard Data
8257.archive|mss + hpss
8339.comment|changing bpm positions
8410.comment|
8449.filename|r8449.evt
8484.trigger|Standard Data
8488.date|963544020
8508.size|1076.2 Mb
8540.filename|r8540.evt
8563.trigger|Standard Data
8581.date|964125120
8597.size|1074.6 Mb
8603.size|1067.6 Mb
8694.size|1010.7 Mb
8707.trigger|Standard Data
8719.size|120.0 Kb
7557.energy|5.65 GeV
7415.uconn.pvfs0.size|260304368
7693.uconn.pvfs0.size|188671908
7842.hpss.filename|r7842.evt
7903.uconn.pvfs0.filename|r7903
8178.hpss.date|971321100
8182.hpss.filename|r8182.evt
8264.hpss.date|970912740
8410.hpss.size|1136787456
8429.hpss.filename|r8429.evt
8612.uconn.pvfs1.date|971439360
8646.hpss.date|969944580
8339.hpss.size|494665728
8174.jlab.jcache.size|730980352
8337.jlab.jcache.date|971206620
8394.jlab.jcache.filename|r8394.evt
8400.jlab.jcache.filename|r8400.evt
8574.jlab.scratch.filename|r8574.evt
7973.uconn.pvfs0.date|972498000
8356.uconn.pvfs1.size|0
8316.uconn.pvfs1.filename|r8316
8363.uconn.pvfs1.filename|r8363
7679.uconn.pvfs0.size|334943472
8024.uconn.pvfs0.date|972666480
8234.uconn.pvfs0.size|0
8281.uconn.pvfs0.size|0
7648.epics.beam energy|5653
7668.epics.B slit position|17.00
7674.epics.bpm_1_x|18.313
7686.epics.B slit position|17.00
7700.epics.thermionic gun|-50.000
7723.epics.bpm_1_i|0.000
7730.epics.bpm_1_y|-9.829
7750.epics.Halo D upstream|43328
7775.epics.Halo U upstream|40688
7779.epics.A slit position|-1.00
7797.epics.A slit position|-1.00
7803.epics.Halo U upstream|41714
7818.epics.Tagger dump R|2113143
7833.epics.bpm_1_y|0.597
7846.epics.bpm_1_i|128.051
7849.epics.TimeStamp|Wed May 31 17
7852.epics.bpm_2_i|130.797
7860.epics.Helium pressure|0.83
7876.epics.Halo U upstream|9888
7883.epics.Radiator out|0
7890.epics.A slit position|8.00
7890.epics.Radiator D|0.00
7900.epics.Tagger dump L|89351
7903.epics.tagger current|2046.66
7913.epics.Radiator B|1.00
7926.epics.bpm_2_i|129.276
7935.epics.TimeStamp|Sat Jun  3 04
7962.epics.C slit position|8.00
7967.epics.Halo L upstream|1
7974.epics.bpm_2_x|-0.602
7977.epics.beam current|0.008
7987.epics.Helium pressure|0.79
7993.epics.bpm_2_i|130.321
8007.epics.bpm_1_y|0.000
8023.epics.bpm_2_x|0.000
8037.epics.Halo U upstream|0
8047.epics.Helium pressure|0.72
8053.epics.bpm_2_i|0.000
8065.epics.bpm_1_i|47.897
8072.epics.bpm_1_y|0.000
8080.epics.TimeStamp|Fri Jun  9 16
8104.epics.B slit position|15.91
8111.epics.bpm_1_i|0.000
8122.epics.Halo D upstream|25
8136.epics.Radiator out|0
8143.epics.Radiator out|0
8150.epics.A slit position|8.00
8150.epics.Radiator D|0.00
8186.epics.bpm_1_i|130.156
8189.epics.TimeStamp|Thu Jun 15 03
8192.epics.bpm_2_i|128.609
8214.epics.Radiator A|1.00
8220.epics.bpm_2_y|0.000
8239.epics.bpm_1_x|0.000
8244.epics.A slit position|-1.00
8244.epics.Radiator D|0.00
8248.epics.Halo U upstream|9583
8261.epics.Radiator A|1.00
8290.epics.B slit position|16.22
8337.epics.Tagger dump U|0
8341.epics.bpm_1_x|-1.460
8353.epics.Radiator C|0.00
8353.epics.beam energy|5653
8355.epics.Master OR|26476274
8357.epics.Halo R upstream|713
8358.epics.bpm_2_y|0.168
8369.epics.Tagger dump L|5362
8394.epics.Radiator B|0.00
8400.epics.Radiator B|0.00
8422.epics.TimeStamp|Wed Jun 28 22
8452.epics.Halo L upstream|0
8468.epics.beam current|0.005
8475.epics.Tagger dump L|2168
8476.epics.tagger current|2045.00
8480.epics.bpm_2_i|75.032
8497.epics.TimeStamp|Fri Jul 14 21
8506.epics.Helium pressure|0.62
8514.epics.Halo U upstream|10923
8538.epics.C slit position|-1.00
8546.epics.bpm_1_y|0.549
8556.epics.TimeStamp|Tue Jul 18 23
8559.epics.bpm_1_i|75.787
8567.epics.bpm_2_i|76.982
8573.epics.Helium pressure|0.54
8584.epics.Halo D upstream|9949
8594.epics.Radiator out|0
8599.epics.Helium pressure|0.50
8600.epics.Radiator out|0
8618.epics.Master OR|23385513
8622.epics.Tagger dump R|17192
8643.epics.Radiator A|0.00
8657.epics.Tagger dump R|0
8672.epics.B slit position|16.75
8680.epics.Halo U upstream|24650
8697.epics.Radiator out|0
8703.epics.bpm_2_i|77.234
7907.timecorr|0.
8472.timecorr|271.273346
7963.time|2549.57837
8456.time|2490.48828
8539.time|5760.96826
5674.trigger|Standard Data
4654.trigger|RPD * TAG
4865.archive|DLT206 + mss
5016.filename|r5016.evt
5202.date|898206000
5203.size|46 Mb
5242.energy|4 GeV
5254.comment|Production Running 
5276.size|0 Mb
5298.filename|r5298.evt
5320.comment|ditto 
5444.archive|mss
5589.archive|mss
6216.trigger|Standard Data
6247.archive|mss
6438.archive|mss
6517.archive|mss
6546.trigger|minimum bias
6615.comment|BSD thresh at 340
