4871.archive|DLT206 + mss
7934.epics.Radiator B|1.00
7935.epics.bpm_1_i|128.783
7944.epics.Radiator A|0.00
7956.epics.Halo U upstream|10031
7979.epics.bpm_1_y|0.617
8010.epics.Radiator D|0.00
8070.epics.Tagger dump R|1133612
8080.epics.bpm_1_i|0.000
8081.epics.Radiator B|1.00
8094.epics.Radiator out|0
8104.epics.A slit position|-1.00
8147.epics.Halo L upstream|719
8188.epics.Radiator B|1.00
8189.epics.bpm_1_i|133.204
8201.epics.bpm_2_y|0.138
8213.epics.Tagger dump U|0
8227.epics.Tagger dump L|0
8234.epics.C slit position|-1.00
8244.epics.B slit position|16.46
8244.epics.tagger current|2046.66
8253.epics.Halo D upstream|11420
8262.epics.bpm_2_x|-0.554
8300.epics.beam current|0.007
8332.epics.Halo R upstream|995
8341.epics.Radiator C|0.00
8430.epics.Halo U upstream|10669
8496.epics.Radiator B|0.00
8497.epics.bpm_1_i|0.000
8544.epics.Tagger dump R|51882
8556.epics.bpm_1_i|76.462
8557.epics.Radiator B|0.00
8590.epics.Halo L upstream|1006
8644.epics.Tagger dump U|0
8672.epics.A slit position|-1.00
8693.epics.Halo L upstream|0
7722.timecorr|532.659973
8064.timecorr|0.000669960165
8187.timecorr|2350.07617
8499.timecorr|2629.52515
8558.timecorr|2854.71484
7504.time|1558.36011
8291.time|5553.93213
4897.trigger|Standard Data
5045.archive|mss
5142.trigger|Standard Data
5232.archive|mss
5318.comment|ditto 
5520.date|898940640
5666.filename|r5666.evt
6214.comment|target in
6270.size|127.0 Mb
6288.energy|none
6555.size|194.9 Mb
6646.archive|mss
6689.size|1024.0 Kb
7237.size|618.9 Mb
7346.date|959059560
7499.comment|
7500.energy|5.65 GeV
7522.date|959314560
7572.comment|
7618.energy|5.65 GeV
7684.comment|hv tripped during it
7711.date|959537580
7848.filename|r7848.evt
7941.filename|r7941.evt
8106.comment|Ended with disk full, data might be small
8123.trigger|Standard Data
8287.size|1081.5 Mb
8295.energy|5.65 GeV
8423.filename|r8423.evt
8670.comment|buggered
7557.trigger|Standard Data
5115.date|897883200
7428.uconn.pvfs0.size|435218212
7432.uconn.pvfs0.date|970621800
7640.uconn.pvfs0.filename|r7640
8079.hpss.date|972254820
8278.hpss.filename|r8278.evt
8331.hpss.size|1128398848
8418.hpss.size|1132855296
8444.hpss.date|972020100
7884.jlab.jcache.date|971894220
8131.jlab.jcache.date|971207520
8223.uconn.pvfs0.filename|r8223
7522.jlab.jcache.filename|r7522.evt
7711.jlab.jcache.filename|r7711.evt
7654.epics.tagger voltage|106.20
7681.epics.A slit position|8.00
7719.epics.bpm_2_i|129.830
7738.epics.beam energy|5653
7784.epics.Halo U upstream|41060
7839.epics.bpm_2_x|-0.939
7840.epics.Tagger dump U|1528941
7860.epics.Halo R upstream|896
7871.epics.Halo D upstream|10526
7881.epics.C slit position|8.00
7914.epics.Helium pressure|0.68
7934.epics.Radiator A|0.00
7944.epics.Radiator B|1.00
7946.epics.beam current|129.992
7949.epics.Tagger dump U|1660989
7956.epics.bpm_2_x|-0.606
7985.epics.Master OR|24
7987.epics.Halo R upstream|927
7988.epics.C slit position|8.00
8081.epics.Radiator A|0.00
8094.epics.Radiator C|0.00
8094.epics.beam energy|5653
8103.epics.A slit position|-1.00
8117.epics.Tagger dump U|0
8118.epics.beam current|129.904
8139.epics.Master OR|29349890
8178.epics.bpm_2_y|0.125
8188.epics.Radiator A|0.00
8208.epics.A slit position|-1.00
8211.epics.bpm_2_y|0.000
8220.epics.Tagger dump L|0
8223.epics.tagger current|2046.66
8277.epics.bpm_2_i|76.709
8280.epics.Tagger dump R|335443
8292.epics.bpm_1_i|77.563
8304.epics.bpm_1_y|1.454
8316.epics.Radiator out|0
8318.epics.TimeStamp|Wed Jun 21 12
8393.epics.Helium pressure|0.65
8424.epics.beam current|77.985
8430.epics.bpm_2_x|0.002
8460.epics.bpm_1_x|-1.574
8471.epics.TimeStamp|Wed Jul 12 17
8474.epics.B slit position|17.00
8496.epics.Radiator A|1.00
8504.epics.Master OR|28585049
8506.epics.Halo R upstream|1030
8509.epics.C slit position|-1.00
8513.epics.Halo D upstream|9846
8529.epics.bpm_1_x|-1.462
8557.epics.Radiator A|1.00
8602.epics.C slit position|-1.00
8616.epics.tagger current|2045.00
8624.epics.bpm_2_i|74.936
8646.epics.bpm_2_y|-0.722
8653.epics.Halo U upstream|24024
8675.epics.A slit position|-1.00
8715.epics.Master OR|12
8718.epics.C slit position|-1.00
7598.timecorr|585.529419
7763.timecorr|162.184784
7789.timecorr|1658.88489
7811.timecorr|0.
8164.timecorr|1755.86768
